CODE,Grade,InPerson,Total_students,zipcode,Capacity,start_date,end_date
311001108528,PREK,3.8000000000000003,68,006301,0.05588235294117647,2021-02-15,2021-03-05
311001106525,PREK,3.4000000000000004,16,005403,0.21250000000000002,2021-02-15,2021-03-05
311001108382,PREK,2,103,006402,0.019417475728155338,2021-02-15,2021-03-05
311001104492,PREK,20,54,008309,0.37037037037037035,2021-02-15,2021-03-05
311001800138,PREK,20.8,75,009113,0.2773333333333333,2021-02-15,2021-03-05
311001101515,PREK,2,23,009104,0.08695652173913043,2021-02-15,2021-03-05
311001108838,PREK,18,56,006312,0.32142857142857145,2021-02-15,2021-03-05
311001108625,PREK,3.6,30,004413,0.12000000000000001,2021-02-15,2021-03-05
311001101175,PREK,9,75,004403,0.12,2021-02-15,2021-03-05
311001036641,PREK,3.8000000000000003,33,002401,0.11515151515151516,2021-02-15,2021-03-05
311001095914,PREK,1.6,13,009111,0.12307692307692308,2021-02-15,2021-03-05
311001092630,PREK,3,30,001204,0.1,2021-02-15,2021-03-05
311848004478,PREK,2.4000000000000004,19,004107,0.12631578947368424,2021-02-15,2021-03-05
311001099839,PREK,0.8,31,006312,0.025806451612903226,2021-02-15,2021-03-05
311001107157,PREK,6,10,004584,0.6,2021-02-15,2021-03-05
311001108668,PREK,0,11,009130,0,2021-02-15,2021-03-05
311848003196,PREK,19,77,009112,0.24675324675324675,2021-02-15,2021-03-05
311001101809,PREK,4,16,002401,0.25,2021-02-15,2021-03-05
311001109281,PREK,2.4000000000000004,23,004309,0.10434782608695654,2021-02-15,2021-03-05
311001106371,PREK,3.2,110,004531,0.02909090909090909,2021-02-15,2021-03-05
311001106282,PREK,5,9,009124,0.5555555555555556,2021-02-15,2021-03-05
311001105936,PREK,3.6,61,002102,0.05901639344262295,2021-02-15,2021-03-05
311001109478,PREK,2.4000000000000004,16,009109,0.15000000000000002,2021-02-15,2021-03-05
311001079803,PREK,3.6,28,008514,0.1285714285714286,2021-02-15,2021-03-05
311001102635,PREK,6,41,004204,0.14634146341463414,2021-02-15,2021-03-05
311001102961,PREK,3,14,004310,0.21428571428571427,2021-02-15,2021-03-05
311001031134,PREK,2.6,25,008207,0.10400000000000001,2021-02-15,2021-03-05
311001106029,PREK,6.2,51,004202,0.12156862745098039,2021-02-15,2021-03-05
311769001951,PREK,8.6,30,009113,0.2866666666666667,2021-02-15,2021-03-05
311001094021,PREK,5.4,41,004409,0.13170731707317074,2021-02-15,2021-03-05
311001108854,PREK,3.4000000000000004,48,008512,0.07083333333333335,2021-02-15,2021-03-05
311001038732,PREK,4,90,001112,0.044444444444444446,2021-02-15,2021-03-05
311001089108,PREK,2,36,004509,0.05555555555555555,2021-02-15,2021-03-05
311001087539,PREK,3,22,006301,0.13636363636363635,2021-02-15,2021-03-05
311001076472,PREK,5,54,001302,0.09259259259259259,2021-02-15,2021-03-05
311001091056,PREK,3,17,004206,0.17647058823529413,2021-02-15,2021-03-05
311001108871,PREK,3.6,27,005402,0.13333333333333333,2021-02-15,2021-03-05
311001107408,PREK,11.200000000000001,34,005101,0.3294117647058824,2021-02-15,2021-03-05
311001108633,PREK,2.8000000000000003,28,004304,0.1,2021-02-15,2021-03-05
311001105561,PREK,3.6,40,009205,0.09,2021-02-15,2021-03-05
311001106916,PREK,2.8000000000000003,18,005206,0.15555555555555556,2021-02-15,2021-03-05
311001035156,PREK,5.6000000000000005,23,004310,0.24347826086956523,2021-02-15,2021-03-05
311001108579,PREK,2.4000000000000004,17,007403,0.14117647058823532,2021-02-15,2021-03-05
311001033536,PREK,2.2,18,007101,0.12222222222222223,2021-02-15,2021-03-05
311001044082,PREK,7.4,15,005638,0.49333333333333335,2021-02-15,2021-03-05
311001105588,PREK,2.6,13,009204,0.2,2021-02-15,2021-03-05
311001042438,PREK,10.4,115,008519,0.09043478260869565,2021-02-15,2021-03-05
311001099162,PREK,7.4,31,002403,0.23870967741935484,2021-02-15,2021-03-05
311001108366,PREK,19.6,36,008514,0.5444444444444445,2021-02-15,2021-03-05
311001044503,PREK,5.6000000000000005,57,008414,0.09824561403508773,2021-02-15,2021-03-05
311001089299,PREK,2,34,006506,0.058823529411764705,2021-02-15,2021-03-05
311001039402,PREK,8.8,29,008412,0.303448275862069,2021-02-15,2021-03-05
311001108307,PREK,2.2,34,005509,0.06470588235294118,2021-02-15,2021-03-05
311001076596,PREK,4,97,009104,0.041237113402061855,2021-02-15,2021-03-05
