zipcode,Grade,start_date,end_date,InPerson,Total_students,Capacity
15001,SECONDARY,2021-02-15,2021-03-05,610.7750116117046,43543,0.014026939154667906
15001,SECONDARY,2021-03-05,2021-03-12,610.7750116117046,43543,0.014026939154667906
15001,SECONDARY,2021-03-12,2021-03-19,610.7750116117046,43543,0.014026939154667906
15001,SECONDARY,2021-03-19,2021-03-26,610.7750116117046,43543,0.014026939154667906
15001,SECONDARY,2021-03-26,2021-04-09,610.7750116117046,43543,0.014026939154667906
15001,SECONDARY,2021-04-09,2021-04-18,610.7750116117046,43543,0.014026939154667906
15001,SECONDARY,2021-04-18,2021-04-26,512.3498993652267,43543,0.011766527326211485
15001,SECONDARY,2021-05-10,2021-05-24,512.3498993652267,43543,0.011766527326211485
15001,UNIVERSITY,2021-02-15,2021-03-05,593.9355273048919,38312,0.0155025978102133
15001,UNIVERSITY,2021-03-05,2021-03-12,593.9355273048919,38312,0.0155025978102133
15001,UNIVERSITY,2021-03-12,2021-03-19,634.6294249021445,38312,0.01656476886881772
15001,UNIVERSITY,2021-03-19,2021-03-26,660.3683884238568,38312,0.01723659397640052
15001,UNIVERSITY,2021-03-26,2021-04-09,843.7460812363657,38312,0.022023023628011215
15001,UNIVERSITY,2021-04-09,2021-04-18,851.1249153733818,38312,0.022215622138582736
15001,UNIVERSITY,2021-04-18,2021-04-26,837.9076097811511,38312,0.021870630867121297
15001,UNIVERSITY,2021-05-10,2021-05-24,837.9076097811511,38312,0.021870630867121297
15022,SECONDARY,2021-02-15,2021-03-05,0.4768540021675182,154,0.003096454559529339
15022,SECONDARY,2021-03-05,2021-03-12,0.4768540021675182,154,0.003096454559529339
15022,SECONDARY,2021-03-12,2021-03-19,0.4768540021675182,154,0.003096454559529339
15022,SECONDARY,2021-03-19,2021-03-26,0.4768540021675182,154,0.003096454559529339
15022,SECONDARY,2021-03-26,2021-04-09,0.4768540021675182,154,0.003096454559529339
15022,SECONDARY,2021-04-09,2021-04-18,0.4768540021675182,154,0.003096454559529339
15022,SECONDARY,2021-04-18,2021-04-26,0.4768540021675182,154,0.003096454559529339
15022,SECONDARY,2021-05-10,2021-05-24,0.4768540021675182,154,0.003096454559529339
15047,SECONDARY,2021-02-15,2021-03-05,2.7406100015482275,3052,0.0008979718222635084
15047,SECONDARY,2021-03-05,2021-03-12,2.7406100015482275,3052,0.0008979718222635084
15047,SECONDARY,2021-03-12,2021-03-19,2.7406100015482275,3052,0.0008979718222635084
15047,SECONDARY,2021-03-19,2021-03-26,2.7406100015482275,3052,0.0008979718222635084
15047,SECONDARY,2021-03-26,2021-04-09,2.7406100015482275,3052,0.0008979718222635084
15047,SECONDARY,2021-04-09,2021-04-18,2.7406100015482275,3052,0.0008979718222635084
15047,SECONDARY,2021-04-18,2021-04-26,2.7406100015482275,3052,0.0008979718222635084
15047,SECONDARY,2021-05-10,2021-05-24,2.7406100015482275,3052,0.0008979718222635084
15047,UNIVERSITY,2021-02-15,2021-03-05,0.031005195620426595,2,0.015502597810213297
15047,UNIVERSITY,2021-03-05,2021-03-12,0.031005195620426595,2,0.015502597810213297
15047,UNIVERSITY,2021-03-12,2021-03-19,0.03312953773763543,2,0.016564768868817716
15047,UNIVERSITY,2021-03-19,2021-03-26,0.03447318795280104,2,0.01723659397640052
15047,UNIVERSITY,2021-03-26,2021-04-09,0.04404604725602243,2,0.022023023628011215
15047,UNIVERSITY,2021-04-09,2021-04-18,0.044431244277165466,2,0.022215622138582733
15047,UNIVERSITY,2021-04-18,2021-04-26,0.04374126173424259,2,0.021870630867121293
15047,UNIVERSITY,2021-05-10,2021-05-24,0.04374126173424259,2,0.021870630867121293
15051,SECONDARY,2021-02-15,2021-03-05,15.339216596996442,940,0.01631831552871962
15051,SECONDARY,2021-03-05,2021-03-12,15.339216596996442,940,0.01631831552871962
15051,SECONDARY,2021-03-12,2021-03-19,15.339216596996442,940,0.01631831552871962
15051,SECONDARY,2021-03-19,2021-03-26,15.339216596996442,940,0.01631831552871962
15051,SECONDARY,2021-03-26,2021-04-09,15.339216596996442,940,0.01631831552871962
15051,SECONDARY,2021-04-09,2021-04-18,15.339216596996442,940,0.01631831552871962
15051,SECONDARY,2021-04-18,2021-04-26,15.193683232698563,940,0.01616349280074315
15051,SECONDARY,2021-05-10,2021-05-24,15.193683232698563,940,0.01616349280074315
15087,SECONDARY,2021-02-15,2021-03-05,1.5011611704598238,808,0.0018578727357176036
15087,SECONDARY,2021-03-05,2021-03-12,1.5011611704598238,808,0.0018578727357176036
15087,SECONDARY,2021-03-12,2021-03-19,1.5011611704598238,808,0.0018578727357176036
15087,SECONDARY,2021-03-19,2021-03-26,1.5011611704598238,808,0.0018578727357176036
15087,SECONDARY,2021-03-26,2021-04-09,1.5011611704598238,808,0.0018578727357176036
15087,SECONDARY,2021-04-09,2021-04-18,1.5011611704598238,808,0.0018578727357176036
15087,SECONDARY,2021-04-18,2021-04-26,1.5011611704598238,808,0.0018578727357176036
15087,SECONDARY,2021-05-10,2021-05-24,1.5011611704598238,808,0.0018578727357176036
15087,UNIVERSITY,2021-02-15,2021-03-05,0.015502597810213297,1,0.015502597810213297
15087,UNIVERSITY,2021-03-05,2021-03-12,0.015502597810213297,1,0.015502597810213297
15087,UNIVERSITY,2021-03-12,2021-03-19,0.016564768868817716,1,0.016564768868817716
15087,UNIVERSITY,2021-03-19,2021-03-26,0.01723659397640052,1,0.01723659397640052
15087,UNIVERSITY,2021-03-26,2021-04-09,0.022023023628011215,1,0.022023023628011215
15087,UNIVERSITY,2021-04-09,2021-04-18,0.022215622138582733,1,0.022215622138582733
15087,UNIVERSITY,2021-04-18,2021-04-26,0.021870630867121293,1,0.021870630867121293
15087,UNIVERSITY,2021-05-10,2021-05-24,0.021870630867121293,1,0.021870630867121293
15090,SECONDARY,2021-02-15,2021-03-05,2.1777055271713888,357,0.0061000154822727975
15090,SECONDARY,2021-03-05,2021-03-12,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-03-12,2021-03-19,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-03-19,2021-03-26,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-03-26,2021-04-09,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-04-09,2021-04-18,0.8954017649790988,357,0.0025081281932187644
